question,answer,predicted,correct,latency_ms,response
"A 53-year-old female visits her physician with watery diarrhea and episodic flushing. The patient reports that she is often short of breath, and a pulmonary exam reveals bilateral wheezing. A CT scan shows a mass in the terminal ileum. 24-hour urine collection shows abnormally elevated 5-hydroxyindoleacetic acid (HIAA) levels. Ultrasound demonstrates a tricuspid valve with signs of fibrosis with a normal mitral valve. A metastatic disease to which organ is most commonly associated with the patient's syndrome?",C,A,False,19174.5,"A) The patient's symptoms of watery diarrhea, flushing, shortness of breath, and wheezing, along with the echocardiography findings of tricuspid valve fibrosis and increased urinary HIAA levels, are consistent with carcinoid syndrome. Carcinoid syndrome is most commonly associated with midgut neuroendocrine tumors, which are typically found in the terminal ileum or appendix. Therefore, the most"
"A 40-year-old man with alcohol use disorder is brought to the emergency department because of sudden-onset blurry vision, severe upper abdominal pain, and vomiting that started one day after he drank a bottle of paint thinner. Physical examination shows epigastric tenderness without rebound or guarding. Ophthalmologic examination shows a visual acuity of 20/200 bilaterally despite corrective lenses. Arterial blood gas analysis on room air shows:
pH 7.21
Sodium 135 mEq/L
Chloride 103 mEq/L
Bicarbonate 13 mEq/L
An antidote with which of the following mechanisms of action is the most appropriate therapy for this patient's condition?""",D,A,False,22520.1,"A) Activation of acetaldehyde dehydrogenase: The patient's symptoms are consistent with methanol poisoning, which is caused by the metabolism of methanol to formaldehyde and formic acid. Formic acid inhibits mitochondrial enzymes, including formate dehydrogenase, which is responsible for the conversion of formic acid to CO2. This leads to metabolic acidosis and visual"
"A 31-year-old woman visits her primary care physician with the complaint that over the past 6 months she has “felt out of breath and dizzy while walking, even after short distances.” She reports no other medical problems and denies taking any medications, vitamins, supplements, recreational drugs, alcohol or tobacco. Her BMI is 24kg/m2. On physical examination, the patient has a loud second heart sound over the left upper sternal border, increased jugular venous pressure, and a palpable right ventricular impulse. Which of the following is the patient most at risk of developing if her condition is allowed to persist for a prolonged period:",B,A,False,18819.1,"The patient's symptoms of shortness of breath and dizziness, along with the physical examination findings of a loud second heart sound, increased jugular venous pressure, and a palpable right ventricular impulse, are consistent with right heart failure. Therefore, the patient is most at risk of developing right heart failure if her condition is allowed to persist for a prolonged period. (B)"
"A 23-year-old woman presents with a 4-week menstrual delay. She also complains of irritability, increased somnolence, and occasional nausea. She had her first menarche at the age of 13, and her menstrual cycle became regular at the age of 15. She has been sexually active since the age of 20 but has had the same sexual partner since then. They stopped using birth control protection approximately 6 months ago. She does not smoke and consumes alcohol occasionally. Her blood pressure is 120/80 mm Hg, heart rate is 71/min, respiratory rate is 14/min, and temperature is 36.6℃ (98.2℉). Physical examination is significant only for slight breast engorgement and nipple pigmentation. Gynecologic examination reveals cervical softening and cyanosis. Which of the following drugs would be recommended for this patient?",B,A,False,16155.8,A) Progesterone: The patient's symptoms and physical examination findings are consistent with early pregnancy. Progesterone is a hormone that plays a crucial role in maintaining the pregnancy.
"A 27-year-old woman comes to the physician because of a 2-month history of palpitations, diaphoresis, and a 5-kg (11-lb) weight loss. Her pulse is 101/min and blood pressure is 141/84 mm Hg. Physical examination shows a fine tremor when the fingers are outstretched. After confirmation of the diagnosis, treatment is begun with an antithyroid medication. The physician emphasizes the need for adequate contraception because of the increased risk of severe fetal malformations associated with the use of this medication, which is why its use is discouraged in the first trimester of pregnancy. Which of the following best describes the mechanism of action of this drug?",C,A,False,17832.0,A: Suppression of thyroid-stimulating hormone release. This antithyroid medication works by inhibiting the release of thyroid hormones from the thyroid gland by suppressing the release of thyroid-stimulating hormone (TSH) from the pituitary gland.
"A 37-year-old man is brought to the emergency department by his wife after having a seizure. He has a 1-week history of headaches, blurry vision in his right eye, and muscle pain in his arms and neck. He has no history of a seizure disorder, and his vision was normal until the onset of his symptoms 1 week ago. He has a history of migraine headaches that occur on a monthly basis and are relieved with ibuprofen. He immigrated from Ecuador 6 years ago and often returns to visit his family. He appears confused. His vital signs are within normal limits. Ophthalmologic examination shows subretinal cysts. An MRI of the brain shows multiple small, ring-enhancing lesions in the parenchyma. A lumbar puncture is done; cerebrospinal fluid analysis shows numerous eosinophils and a protein concentration of 53 mg/dL. Which of the following is the most likely direct cause of infection in this patient?",C,A,False,19200.8,"A) This patient's symptoms and imaging findings are consistent with eosinophilic meningitis, which is often caused by parasitic infections such as Angiostrongylus cantonensis, which can be contracted by ingesting undercooked or raw snails or slugs. This is a common cause of eosinophilic meningitis in immigrants from endemic areas."
"A 26-year-old male professional soccer player is brought to the emergency department due to an episode of syncope during a game. He has felt increasing shortness of breath during the past 3 months. During the past week, he has been feeling chest pain upon exertion. He also tells the doctor that his brother had a sudden death a couple of years ago. His heart rate is 98/min, respiratory rate is 18/min, temperature is 36.5°C (97.7°F), and blood pressure is 110/72 mm Hg. On physical examination, there is a harsh crescendo-decrescendo systolic murmur immediately after S1; it is best heard on the apex, and it radiates to the axilla. There is also an early diastolic murmur heard in early diastole, which is best heard with the bell of the stethoscope. When the Valsalva maneuver is performed, the murmur becomes louder. An ECG and an echocardiogram are performed, which confirm the diagnosis. What is the most likely cause of this patient’s condition?",C,A,False,21500.6,"A) Aortic stenosis: The harsh, crescendo-decrescendo systolic murmur immediately after S1, best heard at the apex and radiating to the axilla, is characteristic of aortic stenosis. The early diastolic murmur heard in early diastole, which is best heard with the bell of the stethoscope, and the murmur becoming louder with the Valsalva maneuver are also consistent"
"A 49-year-old man presents to the emergency department with acute onset of pain and redness of the skin of his lower leg for the past 3 days. He has had type 2 diabetes mellitus for the past 12 years, but he is not compliant with his medications. He has smoked 10–15 cigarettes per day for the past 20 years. His temperature is 38°C (100.4°F), pulse is 95/min, and blood pressure is 110/70 mm Hg. On physical examination, the pretibial area is erythematous, edematous, and tender. He is diagnosed with acute cellulitis, and intravenous ceftazidime sodium is started. On the 5th day of antibiotic therapy, the patient complains of severe watery diarrhea, fever, and abdominal tenderness without rigidity. Complete blood count is ordered for the patient and shows 14,000 white blood cells/mm3. Which of the following is the best initial therapy for this patient?",B,A,False,22908.4,"Based on the patient's symptoms of severe watery diarrhea, fever, and abdominal tenderness without rigidity, it is likely that the patient has developed a Clostridioides difficile infection (CDI) as a complication of antibiotic therapy. In this case, the best initial therapy would be intravenous metronidazole or vancomycin to treat the CDI. However, based on the information provided, the patient is"
"A 4-year-old boy presents to the emergency department with diarrhea. Several days ago, he experienced a fever which has progressed to vomiting and diarrhea. He has had multiple episodes of non-bloody diarrhea and states that he feels fatigued. He is not up to date on his vaccinations and takes many different herbal supplements from his parents. His temperature is 101°F (38.3°C), blood pressure is 100/55 mmHg, pulse is 111/min, respirations are 19/min, and oxygen saturation is 100% on room air. Physical exam is notable for dry mucous membranes and a fatigued appearing child. Which of the following is the most likely etiology of this patient’s symptoms?",C,A,False,18731.4,"A) Campylobacter jejuni: The patient's symptoms of fever, diarrhea, and fatigue, along with the recent history of a fever, are consistent with a bacterial infection caused by Campylobacter jejuni. The patient's lack of up-to-date vaccinations and use of herbal supplements may increase his risk for this infection."
"A 45-year-old woman presents to the emergency department after sustaining a gunshot wound to her shoulder. During the course of the physical exam, the physician notes her spleen is palpable 10 cm below the left costal margin. Additionally, radiography of her shoulder showed several 'punched-out' areas of lytic bone. While this was considered an incidental finding at the time, she was referred to her primary care physician for further workup. Subsequent biopsy of the spleen demonstrated that this patient’s splenomegaly was caused by an infiltrative process. Which of the following processes would most likely result in splenomegaly in this patient?",A,A,True,15519.7,"A) Multiple myeloma: The patient's splenomegaly and the incidental finding of lytic bone lesions on radiography are consistent with multiple myeloma, an infiltrative disorder of plasma cells."
"A 24-year-old woman presents with generalized edema, hematuria, and severe right-sided flank pain. Her vital signs are normal. A 24-hour urine collection shows >10 grams of protein in her urine. Serum LDH is markedly elevated. Contrast-enhanced spiral CT scan shows thrombosis of the right renal vein. Which of the following is the most likely mechanism behind this thrombosis?",A,A,True,17433.4,"A) Antithrombin III deficiency: The patient's symptoms of generalized edema, hematuria, and severe right-sided flank pain, along with the findings of thrombosis of the right renal vein and elevated LDH, suggest a hypercoagulable state. Antithrombin III deficiency is a common cause of hypercoagulability."
A 49-year-old man being treated for Helicobacter pylori infection presents to his primary care physician complaining of lower back pain. His physician determines that a non-steroidal anti-inflammatory drug (NSAID) would be the most appropriate initial treatment. Which of the following is the most appropriate NSAID for this patient?,D,A,False,16883.3,"A) Ibuprofen: Ibuprofen is an NSAID that is effective for treating both the Helicobacter pylori infection and the associated abdominal pain. It is important to note that NSAIDs can also contribute to the development of ulcers, so it is crucial to ensure that the patient is being treated for the H. pylori infection to prevent further damage. However, in this case, the patient is already being treated for the infection"
